,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
150875,브론즈웨인커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16265076,129.1664859,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20브론즈웨인커피,https://m.place.naver.com/restaurant/1165911809,카페,4.63,421,376,0
7763,카페베네해운대청사포점,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16100704,129.1936503,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20카페베네해운대청사포점,https://m.place.naver.com/restaurant/134019683,카페,4.34,456,38,0
89329,달맞이마산아구찜,일식/수산물,해물찜/탕전문,한식 음식점업,중동,35.15691983,129.1802553,일식 수산물해물찜 탕전문한식 음식점업,중동%20달맞이마산아구찜,https://m.place.naver.com/restaurant/12962055,"아귀찜,해물찜",4.13,147,381,0
47008,카페디아트,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16074495,129.1918903,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20카페디아트,https://m.place.naver.com/restaurant/31751982,카페,4.56,644,384,0
79754,디아트커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16074495,129.1918903,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20디아트커피,https://m.place.naver.com/restaurant/31751982,카페,4.56,644,384,0
78655,샤브야,별식/퓨전요리,샤브샤브전문,한식 음식점업,중동,35.15832359,129.18235,별식 퓨전요리샤브샤브전문한식 음식점업,중동%20샤브야,https://m.place.naver.com/restaurant/33703292,샤브샤브,4.6,1238,385,0
89987,동촌물회,일식/수산물,수산물전문음식점-종합,한식 음식점업,중동,35.16741677,129.1695287,일식 수산물수산물전문음식점-종합한식 음식점업,중동%20동촌물회,https://m.place.naver.com/restaurant/36228283,"해물,생선요리",4.67,117,39,0
143030,장미맨숀,유흥주점,호프/맥주,기타 주점업,중동,35.16046485,129.1622728,유흥주점호프 맥주기타 주점업,중동%20장미맨숀,https://m.place.naver.com/restaurant/1916365349,요리주점,4.34,77,39,0
128573,닉스그릴,양식,기타전문서양음식점,서양식 음식점업,중동,35.16023747,129.165299,양식기타전문서양음식점서양식 음식점업,중동%20닉스그릴,https://m.place.naver.com/restaurant/37182958,이탈리아음식,4.21,56,390,0
92428,해금강곰장어,일식/수산물,곰장어전문,한식 음식점업,중동,35.16110183,129.1616453,일식 수산물곰장어전문한식 음식점업,중동%20해금강곰장어,https://m.place.naver.com/restaurant/32721277,한식,4.28,388,394,0
83702,라꽁띠,한식,한식/백반/한정식,한식 음식점업,중동,35.16258504,129.1890084,한식한식 백반 한정식한식 음식점업,중동%20라꽁띠,https://m.place.naver.com/restaurant/35954338,양식,4.47,617,396,0
124123,홍탕,중식,중국음식/중국집,중식 음식점업,중동,35.17137251,129.1724615,중식중국음식 중국집중식 음식점업,중동%20홍탕,https://m.place.naver.com/restaurant/598681957,중식당,4.58,1431,397,0
95735,BBQ치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,중동,35.17137251,129.1724615,닭 오리요리후라이드 양념치킨치킨 전문점,중동%20BBQ치킨,https://m.place.naver.com/restaurant/1895530788,"치킨,닭강정",4.22,130,4,0
110120,소문난튀김집,분식,라면김밥분식,분식 및 김밥 전문점,중동,35.1612939,129.1622956,분식라면김밥분식분식 및 김밥 전문점,중동%20소문난튀김집,https://m.place.naver.com/restaurant/32614422,"족발,보쌈",4,29,4,0
66552,장수통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,중동,35.16310469,129.1623982,닭 오리요리후라이드 양념치킨치킨 전문점,중동%20장수통닭,https://m.place.naver.com/restaurant/1177361416,"치킨,닭강정",4.5,32,4,0
147055,밥파는집,한식,한정식전문,한식 음식점업,중동,35.16197651,129.1663007,한식한정식전문한식 음식점업,중동%20밥파는집,https://m.place.naver.com/restaurant/1719629376,"백반,가정식",4.52,38,4,0
92726,몽,양식,정통양식/경양식,서양식 음식점업,중동,35.15746999,129.1755876,양식정통양식 경양식서양식 음식점업,중동%20몽,https://m.place.naver.com/restaurant/37351452,"도시락,컵밥",4.17,45,4,0
118861,네오피자,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",중동,35.17137251,129.1724615,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",중동%20네오피자,https://m.place.naver.com/restaurant/1363025722,피자,4.59,47,4,0
121882,일광반점,중식,중국음식/중국집,중식 음식점업,중동,35.16244287,129.1730797,중식중국음식 중국집중식 음식점업,중동%20일광반점,https://m.place.naver.com/restaurant/32128705,중식당,4.24,62,4,0
138347,신토불이식당,한식,한식/백반/한정식,한식 음식점업,중동,35.16185856,129.1757056,한식한식 백반 한정식한식 음식점업,중동%20신토불이식당,https://m.place.naver.com/restaurant/1503265918,기사식당,4.37,77,4,0
