index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
35,미가원,한식,한식/백반/한정식,한식 음식점업,중동,35.17160322,129.172838,한식한식 백반 한정식한식 음식점업,중동%20미가원,https://m.place.naver.com/restaurant/37069867,일식당,4.25,22,11,0
36,청도양곱창,한식,곱창/양구이전문,한식 음식점업,중동,35.16739906,129.1713616,한식곱창 양구이전문한식 음식점업,중동%20청도양곱창,https://m.place.naver.com/restaurant/16577480,"곱창,막창,양",4.46,28,11,0
37,후라이드참잘하는집,유흥주점,호프/맥주,기타 주점업,중동,35.17137251,129.1724615,유흥주점호프 맥주기타 주점업,중동%20후라이드참잘하는집,https://m.place.naver.com/restaurant/1580289931,"치킨,닭강정",4.36,396,11,0
38,주문진막국수,한식,한식/백반/한정식,한식 음식점업,중동,35.16313359,129.1752849,한식한식 백반 한정식한식 음식점업,중동%20주문진막국수,https://m.place.naver.com/restaurant/21436692,막국수,4.17,40,11,0
39,투다리,유흥주점,호프/맥주,기타 주점업,중동,35.16023747,129.165299,유흥주점호프 맥주기타 주점업,중동%20투다리,https://m.place.naver.com/restaurant/1399990922,"오뎅,꼬치",4.03,86,11,0
40,해림횟집,일식/수산물,횟집,한식 음식점업,중동,35.1626215,129.1944641,일식 수산물횟집한식 음식점업,중동%20해림횟집,https://m.place.naver.com/restaurant/11579082,조개요리,4.43,483,110,0
41,지노스,패스트푸드,피자전문,"피자, 햄버거, 샌드위치 및 유사 음식점업",중동,35.16021589,129.1666048,"패스트푸드피자전문피자, 햄버거, 샌드위치 및 유사 음식점업",중동%20지노스,https://m.place.naver.com/restaurant/1258867879,피자,4.32,266,111,0
42,가야밀면,분식,국수/만두/칼국수,분식 및 김밥 전문점,중동,35.16940797,129.1733444,분식국수 만두 칼국수분식 및 김밥 전문점,중동%20가야밀면,https://m.place.naver.com/restaurant/13093502,냉면,4.36,274,115,0
43,하루참치,일식/수산물,참치전문점,일식 음식점업,중동,35.16309932,129.1629579,일식 수산물참치전문점일식 음식점업,중동%20하루참치,https://m.place.naver.com/restaurant/36893616,생선회,4.77,61,115,0
44,맥도날드,패스트푸드,패스트푸드,그외 기타 음식점업,중동,35.16184171,129.1709307,패스트푸드패스트푸드그외 기타 음식점업,중동%20맥도날드,https://m.place.naver.com/restaurant/11807421,햄버거,4.34,6504,117,0
